"sir","later"
"also dash can I just work on website already logic is slow","of course"
"honestly idk","sir"
"why what happened","I was making my buddy do forced reps on incline chest supported smith rows and he dropped it on the way down"
"what even happened lol","a bunch of bullshit and I broke my finger"
"what even happened lol","honestly idk"
"linker this is enough drama for the day thank you very much","what even happened lol"
"ok","EA servers real"
"AAAAAAAAAAAAAAAAAAAAA","OHHHHHHHHhhhhhhhhhhhhh"
"shut the duck up","prove it sir"
"jokes on you I have bing access too","hmm"
"not the ai","limit how many were allowed to vote steam"
"turn of ping in replies","IP removed"
"what","bhi shanti"
"true","But you can prove it"
"bozo AI","damn what tf did you steal now"
"I mean im hardbough to start","what"
"A new galsnare","damn thats a lot"
"british bot","chad"
"MAKE SOME NOISE FOR ICE SPICE","ask me proper questions bitch"
"ignore logic","wtf"
"I need this in my life","wym"
